size,fit_class,allowance,max_major_dia,min_major_dia,min,max_pitch,min_pitch,minor_dia
1 1/8-18 UNEF,3A,0,1.125,1.1163,-,1.0889,1.0853,1.0589
1 1/8-20 UN,2A,0.0014,1.1236,1.1155,-,1.0911,1.0866,1.0641
1 1/8-20 UN,3A,0,1.125,1.1169,-,1.0925,1.0891,1.0655
1 1/8-24 UNS,2A,0.0013,1.1237,1.1165,-,1.0966,1.0924,1.0742
1 1/8-28 UN,2A,0.0012,1.1238,1.1173,-,1.1006,1.0966,1.0812
1 1/8-28 UN,3A,0,1.125,1.1185,-,1.1018,1.0988,1.0824
1 3/16-8 UN,2A,0.0021,1.1854,1.1704,-,1.1042,1.0972,1.0366
1 3/16-8 UN,3A,0,1.1875,1.1725,-,1.1063,1.1011,1.0387
1 3/16-12 UN,2A,1.0017,1.1858,1.1744,-,1.1317,1.1259,1.0866
1 3/16-12 UN,3A,0,1.1872,1.1761,-,1.1334,1.1291,1.0883
1 3/16-16 UN,2A,0.0015,1.186,1.1766,-,1.1454,1.1403,1.1115
1 3/16-16 UN,3A,0,1.1875,1.1781,-,1.1469,1.1431,1.113
1 3/16-18 UNEF,2A,0.0015,1.186,1.1773,-,1.1499,1.145,1.1199
1 3/16-18 UNEF,3A,0,1.1875,1.1788,-,1.1514,1.1478,1.1214
1 3/16-20 UN,2A,0.0014,1.1861,1.178,-,1.1536,1.1489,1.1266
1 3/16-20 UN,3A,0,1.1875,1.1794,-,1.155,1.1515,1.128
1 3/16-28 UN,2A,0.0012,1.1863,1.1798,-,1.1631,1.159,1.1437
1 3/16-28 UN,3A,0,1.1875,1.181,-,1.1643,1.1612,1.1449
1 1/4-7 UNC,1A,0.0022,1.2478,1.2232,-,1.155,1.1439,1.0777
1 1/4-7 UNC,2A,0.0022,1.2478,1.2314,1.2232,1.155,1.1476,1.0777
1 1/4-7 UNC,3A,0,1.25,1.2336,-,1.1572,1.1517,1.0799
1 1/4-8 UN,2A,0.0021,1.2479,1.2329,1.2254,1.1667,1.1597,1.0991
1 1/4-8 UN,3A,0,1.25,1.235,-,1.1688,1.1635,1.1012
1 1/4-10 UNS,2A,0.0019,1.2481,1.2352,-,1.1831,1.1768,1.1291
1 1/4-12 UNF,1A,0.0018,1.2482,1.231,-,1.1941,1.1849,1.149
1 1/4-12 UNF,2A,0.0018,1.2482,1.2368,-,1.1941,1.1879,1.149
1 1/4-12 UNF,3A,0,1.25,1.2386,-,1.1959,1.1913,1.1508
1 1/4-14 UNS,2A,0.0016,1.2484,1.2381,-,1.202,1.1966,1.1634
1 1/4-16 UN,2A,0.0015,1.2485,1.2391,-,1.2079,1.2028,1.174
1 1/4-16 UN,3A,0,1.25,1.2406,-,1.2094,1.2056,1.1755
1 1/4-18 UNEF,2A,0.0015,1.2485,1.2398,-,1.2124,1.2075,1.1824
1 1/4-18 UNEF,3A,0,1.25,1.2413,-,1.2139,1.2103,1.1839
1 1/4-20 UN,2A,0.0014,1.2486,1.2405,-,1.2161,1.2114,1.1891
1 1/4-20 UN,3A,0,1.25,1.2419,-,1.2175,1.214,1.1905
1 1/4-24 UNS,2A,0.0013,1.2487,1.2415,-,1.2216,1.2173,1.1991
1 1/4-28 UN,2A,0.0012,1.2488,1.2423,-,1.2256,1.2215,1.2062
1 1/4-28 UN,3A,0,1.25,1.2435,-,1.2268,1.2237,1.2074
1 5/16-8 UN,2A,0.0021,1.3104,1.2954,-,1.2292,1.2221,1.1616
1 5/16-8 UN,3A,0,1.3125,1.2975,-,1.2313,1.226,1.1637
